"county","incident","direction","lanes","created","lat","long","updated","location"
"Worcester","Planned Closure @ US 50 EAST BETWEEN SAMUEL BOWEN BLVD AND SEAHAWK RD","East","1/2 Eastbound-right Traffic Lane, right Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","38.340584","-75.15513","2026/03/27T19:40:01","POINT (-75.15513 38.340584)"
"Baltimore","Planned Closure @ MD 157 NORTH FROM BETHLEHEM BLVD TO RIVERSIDE DR","North","Northbound-Right Deceleration Lane, Shoulder closed","Created: 03/27/2026 07:23 PM by SOC.","39.23624","-76.473366","2026/03/27T19:40:01","POINT (-76.473366 39.23624)"
"Montgomery","Planned Closure @ MD 650 NORTH/SOUTH FROM OAKVIEW DR TO ELTON RD","North/South","Southbound-right Shoulder, Northbound-right Shoulder closed","Created: 03/27/2026 04:29 PM by SOC.","39.022236","-76.97744","2026/03/27T19:40:01","POINT (-76.97744 39.022236)"
"Baltimore","Planned Closure @ I-695 OUTER LOOP AT MD-158 RAMP (LONG TERM CONTINUOUS)","Outer Loop","Outer Loop-Right On Ramp closed","Created: 03/27/2026 06:08 PM by AOC Central.","39.2364","-76.47107","2026/03/27T19:40:01","POINT (-76.47107 39.2364)"
"Washington","Planned Closure @ I-81 NORTH/SOUTH BETWEEN MP 3 AND MP 4","North/South","Southbound-both Shoulders, Northbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.613506","-77.79648","2026/03/27T19:40:01","POINT (-77.79648 39.613506)"
"Washington","Planned Closure @ I-70 WEST FROM DOWNSVILLE PIKE TO GREENCASTLE PIKE (MM 28.0-24.0)","West","Westbound-1 of 3 Shoulders closed","Created: 03/27/2026 04:40 PM by SOC.","39.606586","-77.7542","2026/03/27T19:40:01","POINT (-77.7542 39.606586)"
"Baltimore","Planned Closure @ MD 158 WEST FROM WHARF RD TO PENINSULA EXPWY","West","Westbound-right Right Turn Lane, right Shoulder closed","Created: 03/27/2026 04:29 PM by SOC.","39.237625","-76.465385","2026/03/27T19:40:01","POINT (-76.465385 39.237625)"
"Howard","Planned Closure @ I-70 EAST BETWEEN MP 85.01 AND MP 87 (MM 85.0-87.0)","East","Eastbound-right Shoulder closed","Created: 03/27/2026 05:21 PM by SOC.","39.297577","-76.86249","2026/03/27T19:40:01","POINT (-76.86249 39.297577)"
"Washington","Planned Closure @ I-70 EAST FROM GREENCASTLE PIKE TO BOWER AVE (MM 24.0-27.0)","East","Eastbound-1 of 3 Shoulders closed","Created: 03/27/2026 04:28 PM by SOC.","39.63015","-77.80959","2026/03/27T19:40:01","POINT (-77.80959 39.63015)"
"Baltimore","Planned Closure @ MD 695 SOUTH AT DUNHILL RD","South","1/1 Southbound-Traffic Lane, Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.252186","-76.525505","2026/03/27T19:40:01","POINT (-76.525505 39.252186)"
"Frederick","Planned Closure @ US 340 EAST/WEST BETWEEN BURKITTSVILLE RD AND JEFFERSON NATIONAL PIKE","East/West","Westbound-both Shoulders, Eastbound-both Shoulders closed","Created: 03/27/2026 04:28 PM by SOC.","39.33974","-77.64032","2026/03/27T19:40:01","POINT (-77.64032 39.33974)"
"Baltimore","Planned Closure @ I-695 OUTER LOOP FROM YORK RD TO BALTO NATIONAL PIKE (MM 26.0-11.5)","Outer Loop","Outer Loop-left Shoulder closed","Created: 03/27/2026 06:39 PM by SOC.","39.41379","-76.612114","2026/03/27T19:40:01","POINT (-76.612114 39.41379)"
"Anne Arundel","Planned Closure @ MD 2 NORTH FROM JONES STATION RD TO CYPRESS CREEK RD","North","Northbound-Shoulder closed","Created: 03/27/2026 07:34 PM by SOC.","39.057713","-76.52794","2026/03/27T19:40:01","POINT (-76.52794 39.057713)"
"Carroll","Planned Closure @ MD 140 WEST FROM ENGLAR RD TO LITTLESTOWN PIKE","West","Westbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.583897","-76.98988","2026/03/27T19:40:01","POINT (-76.98988 39.583897)"
"Baltimore City","Planned Closure @ I-95 NORTH PAST EXIT 61 US 40 (MM 60.3 - 60.9) (LONG TERM CONTINUOUS)","North","Northbound-1 of 4 Shoulders closed","Created: 03/27/2026 04:28 PM by AOC Central.","39.3124","-76.53227","2026/03/27T19:40:01","POINT (-76.53227 39.3124)"
"Anne Arundel","Planned Closure @ MD 295 SOUTH AT RAMP 8 FR MD 295 SB TO MD 175 WB","South","Southbound-Right Off Ramp closed","Created: 03/27/2026 06:34 PM by SOC.","39.143772","-76.75426","2026/03/27T19:40:01","POINT (-76.75426 39.143772)"
"Washington","Planned Closure @ US 11 NORTH/SOUTH FROM ANDERSON DR TO HICKORY SCHOOL RD","North/South","Southbound-Shoulder, Northbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.61229","-77.78369","2026/03/27T19:40:01","POINT (-77.78369 39.61229)"
"Baltimore City","Planned Closure @ I-895 NORTH PAST EXIT 10 HOLABIRD AVE (MM 11.3 - 11.9) (LONG TERM CONTINUOUS)","North","Northbound-right Shoulder closed","Created: 03/27/2026 04:49 PM by AOC Central.","39.274277","-76.55336","2026/03/27T19:40:01","POINT (-76.55336 39.274277)"
"Baltimore","Planned Closure @ I-695 INNER LOOP AT EXIT 16A I 70 IS 70 (IL) (MM 12.5)","Inner Loop","Inner Loop-right Shoulder closed","Created: 03/27/2026 04:29 PM by SOC.","39.301796","-76.74276","2026/03/27T19:40:01","POINT (-76.74276 39.301796)"
"Montgomery","Planned Closure @ MD 187 NORTH FROM BELLS MILL RD TO DEMOCRACY BLVD","North","Northbound-Left Turn Lane, left Shoulder closed","Created: 03/27/2026 06:20 PM by SOC.","39.004536","-77.11058","2026/03/27T19:40:01","POINT (-77.11058 39.004536)"
"Howard","Planned Closure @ I-95 NORTH BETWEEN STANSFIELD RD AND PATUXENT PKWY (MM 35.0-38.5)","North","Northbound-right Shoulder closed","Created: 03/27/2026 07:22 PM by SOC.","39.120926","-76.86778","2026/03/27T19:40:01","POINT (-76.86778 39.120926)"
"Baltimore City","Planned Closure @ I-695 INNER LOOP/OUTER LOOP AT MP 49.3 (FRANCIS SCOTT KEY BRIDGE)","Inner/Outer Loops","2/2 Inner Loop, 2/2 Outer Loop closed","Created: 03/27/2026 04:28 PM by SOC.","39.218384","-76.52657","2026/03/27T19:40:01","POINT (-76.52657 39.218384)"
"Prince George's","Planned Closure @ MD 5 NORTH/SOUTH BETWEEN LINDA LA AND BEECH RD","North/South","1/3 Southbound-right Traffic Lane, Shoulder, 1/4 Northbound-left Traffic Lane closed","Created: 03/27/2026 04:28 PM by SOC.","38.81265","-76.91194","2026/03/27T19:40:01","POINT (-76.91194 38.81265)"
"Baltimore","Planned Closure @ MD 157 NORTH/SOUTH AT I-695","North/South","Southbound-Right Off Ramp, Shoulder, Northbound-Right Off Ramp, Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.24142","-76.474754","2026/03/27T19:40:01","POINT (-76.474754 39.24142)"
"Baltimore","Planned Closure @ I-695 OUTER LOOP AT EXIT 43 MD 158 (LONG TERM CONTINUOUS)","Outer Loop","2/2 Outer Loop closed","Created: 03/27/2026 06:08 PM by AOC Central.","39.238388","-76.47832","2026/03/27T19:40:01","POINT (-76.47832 39.238388)"
"Anne Arundel","Planned Closure @ MD 70 SOUTH BETWEEN CALVERT ST AND COLLEGE AVE","South","2/2 Southbound-both Traffic Lanes, Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","38.980896","-76.494225","2026/03/27T19:40:01","POINT (-76.494225 38.980896)"
"Garrett","Planned Closure @ MD 135 WEST AT PAULL ST","West","1/1 Westbound-Traffic Lane, Shoulder closed","Created: 03/27/2026 05:18 PM by SOC.","39.396057","-79.37367","2026/03/27T19:40:01","POINT (-79.37367 39.396057)"
"Garrett","Planned Closure @ MD 948 NORTH/SOUTH AT I-68","North/South","Southbound-Shoulder, Northbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.68343","-79.074036","2026/03/27T19:40:01","POINT (-79.074036 39.68343)"
"Howard","Planned Closure @ I-70 EAST AT EXIT 87A US 29 COLUMBIA PIKE (EB) (MM 87.0)","East","Eastbound-Shoulder closed","Created: 03/27/2026 05:21 PM by SOC.","39.29633","-76.83135","2026/03/27T19:40:01","POINT (-76.83135 39.29633)"
"Wicomico","Planned Closure @ US 50 EAST/WEST AT OLD RAILROAD RD","East/West","Westbound-Left Turn Lane, Eastbound-Left Turn Lane closed","Created: 03/27/2026 04:29 PM by SOC.","38.447277","-75.698586","2026/03/27T19:40:01","POINT (-75.698586 38.447277)"
"Anne Arundel","Planned Closure @ MD 713 SOUTH FROM BEAR PAW LA TO STONEY RUN DR","South","1/1 Southbound-Traffic Lane, Shoulder closed","Created: 03/27/2026 04:29 PM by SOC.","39.149727","-76.7232","2026/03/27T19:40:01","POINT (-76.7232 39.149727)"
"Worcester","Planned Closure @ MD 528 NORTH BETWEEN 48TH ST AND 50TH ST","North","Northbound-Right Turn Lane closed","Created: 03/27/2026 04:29 PM by SOC.","38.37367","-75.06979","2026/03/27T19:40:01","POINT (-75.06979 38.37367)"
"Charles","Planned Closure @ MD 234 WEST AT PLATER RD","West","Westbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","38.40866","-76.884544","2026/03/27T19:40:01","POINT (-76.884544 38.40866)"
"Prince George's","Planned Closure @ MD 410 WEST PAST ANNAPOLIS RD","West","1/2 Westbound-left Traffic Lane, left Shoulder closed","Created: 03/27/2026 05:13 PM by SOC.","38.951614","-76.88538","2026/03/27T19:40:01","POINT (-76.88538 38.951614)"
"Allegany","Planned Closure @ US 220 NORTH AT PATRIOT PKWY","North","Northbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.56687","-78.8549","2026/03/27T19:40:01","POINT (-78.8549 39.56687)"
"Howard","Planned Closure @ I-70 EAST PRIOR TO EXIT 87A US 29 COLUMBIA PIKE (EB) (MM 87.0)","East","Eastbound-right Shoulder closed","Created: 03/27/2026 05:21 PM by SOC.","39.29633","-76.83135","2026/03/27T19:40:01","POINT (-76.83135 39.29633)"
"Baltimore","Planned Closure @ I-695 INNER LOOP PRIOR TO EXIT 43 MD 157 (MM 43.0 - 45.3) (LONG TERM CONTINUOUS)","Inner Loop","1/2 Inner Loop-left Traffic Lane closed","Created: 03/27/2026 06:57 PM by AOC Central.","39.251846","-76.45689","2026/03/27T19:40:01","POINT (-76.45689 39.251846)"
"Washington","Planned Closure @ I-70 EAST AT ST PAUL RD (MM 20.0)","East","Eastbound-right Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.651527","-77.88831","2026/03/27T19:40:01","POINT (-77.88831 39.651527)"
"Baltimore City","Planned Closure @ I-895 NORTH AT TOLL PLAZA","North/South","4/7 Northbound-4 of 7 Toll Lanes, Shoulder closed","Created: 03/27/2026 07:38 PM by AOC Central.","39.241047","-76.58872","2026/03/27T19:40:01","POINT (-76.58872 39.241047)"
"Washington","Planned Closure @ US 40 EAST/WEST AT INDEPENDENCE RD","East/West","1/1 Westbound-Traffic Lane, Shoulder, 1/1 Eastbound-Traffic Lane, Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.65723","-77.84903","2026/03/27T19:40:01","POINT (-77.84903 39.65723)"
"Baltimore","Planned Closure @ MD 157 SOUTH FROM RIVERSIDE DR TO BETHLEHEM BLVD","South","Southbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.24205","-76.47533","2026/03/27T19:40:01","POINT (-76.47533 39.24205)"
